path,ball_exists,x,y,w,h
0095_jpg.rf.415ed027a49aba45717ec253c27f77bc.jpg,1,511,81,142,149
1251_jpg.rf.414f46343e5564ab7ae21566183b3b35.jpg,1,189,42,53,53
1264_jpg.rf.4194e312227b03767d87f3e30bc1c3d6.jpg,1,360,40,39,40
0167_jpg.rf.414f200910e07712e2d347dd7d59870e.jpg,1,357,50,69,67
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,1,392,48,49,50
0102_png_jpg.rf.41b001738bb7bdf58fd2b52bc9e91a88.jpg,1,383,45,45,36
0552_png_jpg.rf.41984897f81be856363184a6db41d3d1.jpg,1,92,113,115,126
0170_png_jpg.rf.4199517d624f759f9b1ca9d3dc4bb7cb.jpg,1,450,151,188,195
1229_jpg.rf.41b6ecb58678b9c94d1a5dc2517d76e1.jpg,1,264,42,48,48
0850_jpg.rf.41be8b3d35b9f166c33bbd53e491249a.jpg,1,610,50,59,78
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,1,177,91,146,150
0644_png_jpg.rf.41caa3f24b70202e77bbaaa6e15b4418.jpg,1,153,75,113,120
0737_png_jpg.rf.41f81a4eb57dd183ef2da6d2ce2ac907.jpg,1,336,86,86,88
0201_png_jpg.rf.41b4a69bdba83119afa2cd64c6cfb578.jpg,1,206,69,81,85
0126_jpg.rf.41860194c2daf10e6001ce750e7ef0b4.jpg,1,239,36,40,41
0554_png_jpg.rf.41b567951feccc2e68e193aed26583d7.jpg,1,250,39,23,25
0651_jpg.rf.41bf13b2edcf456246e7abf9f9736c76.jpg,1,463,30,16,16
0142_png_jpg.rf.4153cecef812eb67090479a46d482d22.jpg,1,329,174,220,180
1257_jpg.rf.415e20d5862bfaa6dec2419cf3de8b4c.jpg,1,293,32,38,37
0390_png_jpg.rf.4157b493c009d5ecd0ed6a7cc42227d0.jpg,1,300,91,103,102
0688_png_jpg.rf.41afca11837a09d83c8cdcbfdbc14a9d.jpg,1,483,89,85,88
1002_jpg.rf.41c428f01872ecb612cd82be8e957656.jpg,1,435,35,23,24
0894_png_jpg.rf.4155bf7eeca5f08d97dddcf4b0e0a7a1.jpg,1,551,189,160,150
0617_jpg.rf.41b4e1568b98053433cefeb36d24be23.jpg,1,448,31,20,21
0041_png_jpg.rf.41b43bf2faf7d831039ad63271f739d1.jpg,1,144,196,251,135
1224_jpg.rf.4212530ec477909521dc558ec9fb9af7.jpg,1,618,49,43,58
1168_jpg.rf.41fc328238565a4854901101956fe117.jpg,1,278,40,44,44
0338_png_jpg.rf.420ce83f474b28c1d654ef82d82dba45.jpg,1,463,107,162,171
0194_png_jpg.rf.42855e9b6c7871dcfb2777888ca555a7.jpg,1,58,41,37,40
0396_png_jpg.rf.425042d0dd5f953bf9e7d7f9928cb49e.jpg,1,317,34,19,19
0025_png_jpg.rf.42bacc918100051095c2a0fedefc9e35.jpg,1,62,135,124,162
0803_png_jpg.rf.42b4d1192b4feb86d8db6faac72d276b.jpg,1,30,119,60,130
0251_png_jpg.rf.427d6b07ec63efa88be525bea58028f9.jpg,1,569,50,44,43
0115_png_jpg.rf.42683f1ac89a731e7c82400e3b9a3d40.jpg,1,108,53,42,44
0073_jpg.rf.42d0da3223aa7324057057db9a84bf32.jpg,1,214,92,158,156
1133_jpg.rf.427a62b2e36bfa3dad606c8f2ad9b9b9.jpg,1,160,133,307,262
